Country,UnemploymentRate
Aruba,
Afghanistan,1.519000053
Angola,7.245999813
Albania,13.95600033
Andorra,
Arab World,9.931899922
United Arab Emirates,2.642999887
Argentina,9.984999657
Armenia,17.70700073
American Samoa,
Antigua and Barbuda,
Australia,5.328000069
Austria,4.635000229
Azerbaijan,5.395999908
Burundi,1.537999988
Belgium,6.440999985
Benin,2.025000095
Burkina Faso,6.149000168
Bangladesh,4.293000221
Bulgaria,4.818999767
Bahrain,0.967999995
"Bahamas, The",11.50199986
Bosnia and Herzegovina,21.21800041
Belarus,5.795000076
Belize,9.496999741
Bermuda,
Bolivia,3.266000032
Brazil,12.21800041
Barbados,9.588000298
Brunei Darussalam,9.244999886
Bhutan,2.187000036
Botswana,18.19199944
Central African Republic,6.521999836
Canada,6.05700016
Central Europe and the Baltics,4.083569169
Switzerland,4.874000072
Channel Islands,7.232999802
Chile,7.43200016
China,4.423999786
Cote d'Ivoire,2.444999933
Cameroon,3.339999914
Congo (Kinshasa),4.271999836
Congo (Brazzaville),10.38700008
Colombia,9.187999725
Comoros,3.703000069
Cabo Verde,12.30300045
Costa Rica,8.190999985
Caribbean small states,8.966007668
Cuba,2.252000093
Curacao,
Cayman Islands,
Cyprus,7.916999817
Czech Republic,2.473999977
Germany,3.198999882
Djibouti,11.02999973
Dominica,
Denmark,4.830999851
Dominican Republic,5.828000069
Algeria,12.34899998
East Asia & Pacific (excluding high income),3.94545415
Early-demographic dividend,4.588520862
East Asia & Pacific,3.871915372
Europe & Central Asia (excluding high income),7.200292055
Europe & Central Asia,6.82712406
Ecuador,3.980999947
Egypt,11.29300022
Euro area,7.790755584
Eritrea,6.546000004
Spain,14.69999981
Estonia,5.881999969
Ethiopia,1.787999988
European Union,6.489369837
Fragile and conflict affected situations,5.916716653
Finland,7.251999855
Fiji,4.151000023
France,9.098999977
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,19.6060009
United Kingdom,3.809000015
Georgia,14.24600029
Ghana,6.78399992
Gibraltar,
Guinea,3.572000027
Gambia,8.897999763
Guinea-Bissau,4.070000172
Equatorial Guinea,9.211999893
Greece,18.08099937
Grenada,
Greenland,
Guatemala,2.746000051
Guam,5.857999802
Guyana,12.21899986
High income,4.961949474
Hong Kong,2.75999999
Honduras,4.109000206
Heavily indebted poor countries (HIPC),3.905734913
Croatia,7.769000053
Haiti,13.48400021
Hungary,3.463999987
IBRD only,5.108120641
IDA & IBRD total,4.933223759
IDA total,4.336334615
IDA blend,5.040583951
Indonesia,4.375
IDA only,4.023508194
Isle of Man,
India,2.551000118
Not classified,
Ireland,5.28399992
Iran,11.99199963
Iraq,7.90500021
Iceland,2.950000048
Israel,3.930999994
Italy,9.215000153
Jamaica,9.524000168
Jordan,14.94499969
Japan,2.405999899
Kazakhstan,5.425000191
Kenya,9.305000305
Kyrgyzstan,7.355999947
Cambodia,1.019999981
Kiribati,
St. Kitts and Nevis,
South Korea,3.713999987
Kuwait,2.164999962
Latin America & Caribbean (excluding high income),8.067836745
Laos,0.574000001
Lebanon,6.196000099
Liberia,2.032000065
Libya,17.29999924
St. Lucia,20.46899986
Latin America & Caribbean,8.02337325
Least developed countries: UN classification,3.946339808
Low income,3.567295722
Liechtenstein,
Sri Lanka,4.322999954
Lower middle income,3.972904902
Low & middle income,4.930339352
Lesotho,23.47500038
Late-demographic dividend,5.147796121
Lithuania,6.638000011
Luxembourg,5.413000107
Latvia,8.222999573
"Macao SAR, China",2.019000053
St. Martin (French part),
Morocco,9.027999878
Monaco,
Moldova,3.733999968
Madagascar,1.644999981
Maldives,6.402999878
Middle East & North Africa,9.792762255
Mexico,3.378000021
Marshall Islands,
Middle income,5.090431401
North Macedonia,21.58099937
Mali,9.776000023
Malta,4.626999855
Myanmar,1.575000048
Middle East & North Africa (excluding high income),11.45538266
Montenegro,15.77600002
Mongolia,6.346000195
Northern Mariana Islands,
Mozambique,3.190000057
Mauritania,10.32199955
Mauritius,6.868999958
Malawi,5.375
Malaysia,3.398999929
North America,4.109221021
Namibia,23.18700027
New Caledonia,13.42000008
Niger,0.256999999
Nigeria,6.105999947
Nicaragua,4.869999886
Netherlands,3.760999918
Norway,3.967000008
Nepal,1.246999979
Nauru,
New Zealand,4.80700016
OECD members,5.232113686
Oman,3.084000111
Other small states,9.776461721
Pakistan,3.019999981
Panama,3.904999971
Peru,2.90199995
Philippines,2.411999941
Palau,
Papua New Guinea,2.368999958
Poland,3.270999908
Pre-demographic dividend,5.13364066
Puerto Rico,11.16600037
"Korea, Dem. People_ã_s Rep.",3.301000118
Portugal,6.129000187
Paraguay,4.676000118
West Bank and Gaza,29.86599922
Pacific island small states,3.595244655
Post-demographic dividend,5.1921739
French Polynesia,11.97200012
Qatar,0.144999996
Romania,4.15899992
Russia,4.545000076
Rwanda,0.991999984
South Asia,2.744285773
Saudi Arabia,5.918000221
Sudan,12.99699974
Senegal,6.521999836
Singapore,3.624000072
Solomon Islands,1.792999983
Sierra Leone,4.329999924
El Salvador,4.346000195
San Marino,
Somalia,13.95499992
Serbia,13.51299953
Sub-Saharan Africa (excluding high income),6.113449316
South Sudan,12.71500015
Sub-Saharan Africa,6.113449316
Small states,9.33947125
Sao Tome and Principe,13.40100002
Suriname,7.412000179
Slovakia,6.367000103
Slovenia,5.501999855
Sweden,6.837999821
Swaziland,22.85400009
Sint Maarten (Dutch part),
Seychelles,
Syria,8.18200016
Turks and Caicos Islands,
Chad,2.319000006
East Asia & Pacific (IDA & IBRD countries),3.954991459
Europe & Central Asia (IDA & IBRD countries),6.868829795
Togo,1.669999957
Thailand,0.694999993
Tajikistan,11.08199978
Turkmenistan,3.851000071
Latin America & the Caribbean (IDA & IBRD countries),8.104284385
Timor-Leste,3.007999897
Palestinian Territories,
Middle East & North Africa (IDA & IBRD countries),11.24972447
Tonga,1.018000007
South Asia (IDA & IBRD),2.744285773
Sub-Saharan Africa (IDA & IBRD countries),6.113449316
Trinidad & Tobago,2.813999891
Tunisia,15.51000023
Turkey,11.89500046
Tuvalu,
Tanzania,1.911999941
Uganda,1.786999941
Ukraine,9.312000275
Upper middle income,6.088439425
Uruguay,7.941999912
United States,3.868999958
Uzbekistan,5.499000072
St. Vincent and the Grenadines,19.70999908
Venezuela,9.079000473
British Virgin Islands,
Virgin Islands (U.S.),8.357000351
Vietnam,1.894000053
